ID,Category,Name,Coordinates,rating,user_ratings_total
99,Hawker Centre,Commonwealth Drive Blk 1A/2A/3A (Tanglin Halt Food Centre/Commonwealth Drive Food Centre),"103.797875477439,1.29971330531884,0.0",4,1381
100,Hawker Centre,Dunman Food Centre,"103.90182514721,1.30941418731185,0.0",4,1583
101,Hawker Centre,East Coast Lagoon Food Village,"103.935016747249,1.30668431820832,0.0",4.3,8126
102,Hawker Centre,Empress Road Blk 7 (Empress Road Market and Food Centre),"103.805636386821,1.31624573118373,0.0",3.9,1283
103,Hawker Centre,Eunos Crescent Blk 4A,"103.904260878989,1.32033178221424,0.0",4,2523
104,Hawker Centre,Geylang Bahru Blk 69 (Blk 69 Geylang Bahru Market and Food Centre),"103.870004415152,1.32146226027018,0.0",4.1,2094
105,Hawker Centre,Geylang Serai Market,"103.898224315881,1.3167281476983,0.0",4.3,8573
106,Hawker Centre,Ghim Moh Road Blk 20,"103.788230657145,1.31099627311591,0.0",4.3,1523
107,Hawker Centre,Golden Mile Food Centre,"103.863883249985,1.30287548090781,0.0",4.2,5190
108,Hawker Centre,Haig Road Blk 13/14 (Haig Road Market and Cooked Food Centre),"103.895609494855,1.3151420505272,0.0",4.1,3019
109,Hawker Centre,Havelock Road Blk 22A/B (Havelock Road Cooked Food Centre),"103.829626834637,1.28797543998733,0.0",4,1018
110,Hawker Centre,Holland Drive Blk 44 (Holland Drive Market and Food Centre),"103.792773765463,1.30811775909823,0.0",4.1,2416
111,Hawker Centre,Holland Village Market and Food Centre,"103.794862936127,1.31090802808558,0.0",4,2221
112,Hawker Centre,Hougang Ave 1 Blk 105 (Hougang 105 Hainanese Village Centre),"103.890081064953,1.35383739101169,0.0",4.1,1374
113,Hawker Centre,Hougang Street 21 Blk 209 (Kovan Hougang Market and Food Centre),"103.885977616903,1.35911942212642,0.0",4.3,9
114,Hawker Centre,Jalan Batu Blk 4A (Blk 4A Jalan Batu Hawker Centre/Market),"103.88394058022,1.30241881353449,0.0",3.9,929
115,Hawker Centre,Jalan Bukit Merah Blk 112 (Blk 112 Jalan Bukit Merah Market and Food Centre),"103.826013285715,1.28000481198881,0.0",3.7,434
116,Hawker Centre,Jalan Bukit Merah Blk 6 (ABC Brickworks Market/Food Centre),"103.808127999318,1.28695275198944,0.0",4.2,6596
117,Hawker Centre,Jalan Kukoh Blk 1 (Kukoh 21 Food Centre),"103.839945947186,1.28823055540002,0.0",3.7,790
118,Hawker Centre,Jurong East Ave 1 Blk 347 (Yuhua Market and Hawker Centre),"103.731579747132,1.34531247026793,0.0",4,1873
119,Hawker Centre,Jurong East Street 24 Blk 254 (Yuhua Village Market and Food Centre),"103.737781231485,1.34344213770991,0.0",4,2567
120,Hawker Centre,Jurong West Hawker Centre,"103.697404254467,1.3412597060095,0.0",3.5,601
121,Hawker Centre,Jurong West Street 52 Blk 505,"103.71844754363,1.34964224318434,0.0",4,3824
122,Hawker Centre,Kallang Estate Fresh Market and Food Centre,"103.884130183315,1.30739616009942,0.0",4.1,581
123,Hawker Centre,Kampung Admiralty Hawker Centre,"103.800696448529,1.43993283228134,0.0",4.1,4060
124,Hawker Centre,Marine Parade Central Blk 84 (84 Marine Parade Central Market and Food Centre),"103.906338526157,1.30228513841822,0.0",4,1177
125,Hawker Centre,Marine Terrace Blk 50A (50A Marine Terrace),"103.915761950557,1.30577514781108,0.0",4,1089
