,street,project,marketSegment,lat,long,avg_price_per_sqm,district,commonest_tenure
107,CHAY YAN STREET,THE REGENCY AT TIONG BAHRU,RCR,1.266258060381598,103.84589163430022,18512.24789083922,03,Freehold
108,SOUTH BUONA VISTA ROAD,VISTA PARK,RCR,1.2254893352268161,103.84552446841272,9668.199605706299,05,99 yrs lease commencing from 1979
109,PASIR PANJANG HILL,LE HILL CONDOMINIUM,RCR,1.2205466215937215,103.84691820287257,12649.540981877852,05,Freehold
110,YONG SIAK STREET,YONG SIAK VIEW,RCR,1.2662332639077334,103.84657016225252,13452.528837622005,03,Freehold
111,BEACH ROAD,GOLDEN MILE COMPLEX,CCR,1.3015555070762266,103.86637898348008,7032.348551936222,07,99 yrs lease commencing from 1969
112,CLEMENTI AVENUE 1,THE CLEMENT CANOPY,OCR,1.2042945202671522,103.8702581711485,15075.029678054138,05,99 yrs lease commencing from 2016
113,SPOTTISWOODE PARK ROAD,SPOTTISWOODE PARK,RCR,1.2711055439202439,103.83739023070444,8911.131459247235,02,99 yrs lease commencing from 1973
114,PASIR PANJANG ROAD,THE CASSANDRA,RCR,1.2290937490479619,103.84064324388882,12471.489938860743,05,Freehold
115,PEPYS ROAD,PEPYS HILL CONDOMINIUM,RCR,1.2297047949273403,103.84151505892522,11115.321857942436,05,Freehold
116,OCEAN DRIVE,THE OCEANFRONT @ SENTOSA COVE,CCR,1.2787554414655362,103.8083864445746,16713.288124116712,04,99 yrs lease commencing from 2005
117,ALEXANDRA VIEW,ECHELON,RCR,1.2539440023492188,103.85429245784974,19614.82688890986,03,99 yrs lease commencing from 2012
118,PASIR PANJANG ROAD,VILLA DE WEST,RCR,1.2078950019559425,103.85441036831286,11997.741285668177,05,Freehold
119,HAVELOCK ROAD,HARVEST MANSIONS,RCR,1.2680110846052277,103.85352092769729,12484.40457203615,03,99 yrs lease commencing from 1993
120,PASIR PANJANG ROAD,24 ONE RESIDENCES,RCR,1.2206875296095618,103.8439342679772,18274.300888568774,05,Freehold
121,BEACH ROAD,CONCOURSE SKYLINE,RCR,1.2982230618297654,103.86432493396909,21133.61281828297,07,99 yrs lease commencing from 2008
122,TAN QUEE LAN STREET,TANQUEELAN SUITES,CCR,1.2929805691393148,103.86194712261243,16637.233453820267,07,999 yrs lease commencing from 1827
123,WEST COAST CRESCENT,BLUE HORIZON,OCR,1.2008324189125437,103.86132230545394,11225.44460297879,05,99 yrs lease commencing from 2000
124,PASIR PANJANG HILL,VENTANA,RCR,1.2206935456760482,103.8462460960249,13153.289725944982,05,Freehold
125,INDUS ROAD,EMERALD PARK,RCR,1.266248561103074,103.85378354362048,13116.715386171503,03,99 yrs lease commencing from 1991
126,PASIR PANJANG ROAD,PALISADES,RCR,1.215961877586958,103.8508270352425,9152.10355987055,05,Freehold
127,WEST COAST VALE,TWIN VEW,OCR,1.1883546177895807,103.88318558386666,15285.826086385972,05,99 yrs lease commencing from 2017
128,YONG SIAK STREET,YONG SIAK COURT,RCR,1.2663432930370437,103.84637285254736,13437.5,03,Freehold
129,KIM TIAN ROAD,TWIN REGENCY,RCR,1.2646047208600062,103.84849988807875,18282.076138582892,03,Freehold
130,PASIR PANJANG ROAD,PALM GREEN,RCR,1.2050928169285084,103.85491603091224,10873.111580968307,05,Freehold
131,JERVOIS LANE,RESIDENTIAL APARTMENTS,RCR,1.2550057085107817,103.8580178564292,15384.615384615385,03,Freehold
132,WISHART ROAD,THE FORESTA @ MOUNT FABER,RCR,1.2501273214531932,103.83444479722992,18915.546741604066,04,Freehold
133,WEST COAST ROAD,VARSITY PARK CONDOMINIUM,OCR,1.2046802192033117,103.85811687495492,11803.970849564896,05,99 yrs lease commencing from 2004
134,CHIN SWEE ROAD,THE LANDMARK,RCR,1.2757965116761771,103.8498224047969,23243.617262944405,03,99 yrs lease commencing from 2020
135,PASIR PANJANG HILL,CRYSTAL HEIGHTS,RCR,1.2215781464206408,103.84530418461371,12294.971063144452,05,Freehold
136,FABER WALK,WATERFRONT @ FABER,OCR,1.1908521468232034,103.88707146972675,14329.335158256246,05,99 yrs lease commencing from 2013
137,EVERTON ROAD,SKY EVERTON,RCR,1.2743603593061208,103.83967025822157,27816.54047387642,02,Freehold
