ID,Category,Name,coordinates,Pri_Popularity_Score
236,Primary School,QIHUA PRIMARY SCHOOL,"103.788339762066,1.44203596557592",1.5
121,Primary School,GREENRIDGE PRIMARY SCHOOL,"103.767803387989,1.38593108948507",1.5
196,Primary School,NORTH SPRING PRIMARY SCHOOL,"103.903202683028,1.38706146494859",1.5
221,Primary School,PEI TONG PRIMARY SCHOOL,"103.767438999533,1.31666529308968",1.5
46,Primary School,CANTONMENT PRIMARY SCHOOL,"103.840041087946,1.27546534984202",1.5
25,Primary School,BEDOK GREEN PRIMARY SCHOOL,"103.937745023577,1.32399627990304",1.5
308,Primary School,UNITY PRIMARY SCHOOL,"103.746822625758,1.40285481877246",1.5
335,Primary School,YEW TEE PRIMARY SCHOOL,"103.750985967346,1.39676600905037",1.5
226,Primary School,PIONEER PRIMARY SCHOOL,"103.695003812477,1.34883617453427",1
258,Primary School,SENG KANG PRIMARY SCHOOL,"103.899527879229,1.38925044778224",1
336,Primary School,YIO CHU KANG PRIMARY SCHOOL,"103.885643682171,1.37793264345276",1
54,Primary School,CHANGKAT PRIMARY SCHOOL,"103.952273949753,1.33997334692002",1
114,Primary School,GAN ENG SENG PRIMARY SCHOOL,"103.815228209494,1.28595540299542",1
83,Primary School,DAMAI PRIMARY SCHOOL,"103.921270169613,1.33546106800406",1
344,Primary School,YUHUA PRIMARY SCHOOL,"103.741105772644,1.34280230475033",1
119,Primary School,GREENDALE PRIMARY SCHOOL,"103.913020462134,1.39600211828423",1
41,Primary School,BUKIT VIEW PRIMARY SCHOOL,"103.753303575677,1.34625469092492",1
168,Primary School,MARSILING PRIMARY SCHOOL,"103.773637073788,1.43392876015922",1
11,Primary School,ANG MO KIO PRIMARY SCHOOL,"103.839705325534,1.36870363392975",1
302,Primary School,TELOK KURAU PRIMARY SCHOOL,"103.911005345855,1.33109611001931",1
23,Primary School,BEACON PRIMARY SCHOOL,"103.773868475891,1.38424146547316",1
275,Primary School,ST. ANTHONY'S CANOSSIAN PRIMARY SCHOOL,"103.940544723873,1.3351714044028",1
171,Primary School,MAYFLOWER PRIMARY SCHOOL,"103.835805246743,1.37614621670476",1
104,Primary School,FARRER PARK PRIMARY SCHOOL,"103.850770929023,1.31243078021903",1
162,Primary School,LIANHUA PRIMARY SCHOOL,"103.754165828711,1.35424191127295",1
98,Primary School,EUNOS PRIMARY SCHOOL,"103.904374791251,1.32438836310047",1
318,Primary School,WEST VIEW PRIMARY SCHOOL,"103.760240434318,1.3836758200336",1
32,Primary School,BOON LAY GARDEN PRIMARY SCHOOL,"103.713280889452,1.34317853793318",0.5
307,Primary School,TOWNSVILLE PRIMARY SCHOOL,"103.853768994775,1.35994649477568",0.5
300,Primary School,TECK WHYE PRIMARY SCHOOL,"103.753924558586,1.38388660469396",0.5
52,Primary School,CEDAR PRIMARY SCHOOL,"103.875528272142,1.3353165382378",0.5
151,Primary School,JUYING PRIMARY SCHOOL,"103.687889547387,1.3388763709006",0.5
192,Primary School,NEW TOWN PRIMARY SCHOOL,"103.799964819895,1.29981138884057",0.5
288,Primary School,STAMFORD PRIMARY SCHOOL,"103.856955133139,1.30385959862559",0.5
329,Primary School,XINGHUA PRIMARY SCHOOL,"103.890472887906,1.35790893589535",0.5
352,Primary School,ZHONGHUA PRIMARY SCHOOL,"103.869712517383,1.36026072476019",0.5
124,Primary School,GUANGYANG PRIMARY SCHOOL,"103.849453239895,1.34569011530238",0.5
264,Primary School,SI LING PRIMARY SCHOOL,"103.785778778523,1.43269985645119",0.5
19,Primary School,ANGSANA PRIMARY SCHOOL,"103.951577056231,1.34846568919477",0.5
108,Primary School,FIRST TOA PAYOH PRIMARY SCHOOL,"103.855651157354,1.34032298622598",0.5
3,Primary School,AHMAD IBRAHIM PRIMARY SCHOOL,"103.832750468895,1.43341408412245",0.5
174,Primary School,MERIDIAN PRIMARY SCHOOL,"103.934889078518,1.37552831658484",0.5
204,Primary School,NORTHOAKS PRIMARY SCHOOL,"103.814196981329,1.45660782030102",0.5
157,Primary School,KRANJI PRIMARY SCHOOL,"103.747412309639,1.39418496446376",0.5
31,Primary School,BLANGAH RISE PRIMARY SCHOOL,"103.809208632292,1.27671535398442",0.5
205,Primary School,NORTHSHORE PRIMARY SCHOOL,"103.904416909742,1.41813803336667",0.5
