,CarParkID,Area,Development,Location,AvailableLots,LotType,Agency,latitude,longitude
297,BM9,,BLK 58/59 LENGKOK BAHRU,1.289097999 103.814358,121,C,HDB,1.289097999,103.814358
298,BP1,,BLK 101/109 BUKIT PURMEI ROAD,1.272794946 103.82487,237,C,HDB,1.272794946,103.82487
299,BP2,,BLK 110/115 BUKIT PURMEI ROAD,1.274091691 103.8270043,168,C,HDB,1.274091691,103.8270043
300,BR4,,BLK 81/89 WHAMPOA DRIVE,1.32357726 103.8554214,139,C,HDB,1.32357726,103.8554214
301,BR5,,BLK 74/75 WHAMPOA DRIVE,1.324908971 103.8581906,59,C,HDB,1.324908971,103.8581906
302,BR6,,BLK 92 WHAMPOA DRIVE,1.323038825 103.8535358,63,C,HDB,1.323038825,103.8535358
303,BR8,,BLK 76/77 LORONG LIMAU,1.325160011 103.8545583,74,C,HDB,1.325160011,103.8545583
304,BR9,,BLK 69 MOULMEIN ROAD,1.31896257 103.8507431,31,C,HDB,1.31896257,103.8507431
305,BRM,,BLK 39 BENDEMEER ROAD,1.320747202 103.8661729,261,C,HDB,1.320747202,103.8661729
306,BTM,,BLK 2B BOON TIONG ROAD,1.286783924 103.8332897,115,Y,HDB,1.286783924,103.8332897
307,BTM,,BLK 2B BOON TIONG ROAD,1.286783924 103.8332897,124,C,HDB,1.286783924,103.8332897
308,BTM,,BLK 2B BOON TIONG ROAD,1.286783924 103.8332897,0,H,HDB,1.286783924,103.8332897
309,BWM,,BLK 2A JLN BUKIT MERAH,1.286875302 103.8066545,109,C,HDB,1.286875302,103.8066545
310,C10,,"BLK 339,341,344-345,371-381 CLEMENTI AVENUE 5",1.318463207 103.7689629,231,C,HDB,1.318463207,103.7689629
311,C10,,"BLK 339,341,344-345,371-381 CLEMENTI AVENUE 5",1.318463207 103.7689629,115,Y,HDB,1.318463207,103.7689629
312,C10,,"BLK 339,341,344-345,371-381 CLEMENTI AVENUE 5",1.318463207 103.7689629,50,H,HDB,1.318463207,103.7689629
313,C11,,"BLK 321-322,324-326 CLEMENTI AVENUE 5",1.31589499 103.7661416,184,C,HDB,1.31589499,103.7661416
314,C12,,"BLK 301-302,305-308 CLEMENTI AVENUE 4",1.321789844 103.7661061,60,Y,HDB,1.321789844,103.7661061
315,C12,,"BLK 301-302,305-308 CLEMENTI AVENUE 4",1.321789844 103.7661061,50,H,HDB,1.321789844,103.7661061
316,C12,,"BLK 301-302,305-308 CLEMENTI AVENUE 4",1.321789844 103.7661061,152,C,HDB,1.321789844,103.7661061
317,C16,,BLK 430-435 CLEMENTI AVE 3,1.314313927 103.7624816,102,C,HDB,1.314313927,103.7624816
318,C17,,"BLK 442-444,442A CLEMENTI AVE 3",1.313857729 103.7638966,1,H,HDB,1.313857729,103.7638966
319,C17,,"BLK 442-444,442A CLEMENTI AVE 3",1.313857729 103.7638966,5,C,HDB,1.313857729,103.7638966
320,C17,,"BLK 442-444,442A CLEMENTI AVE 3",1.313857729 103.7638966,4,Y,HDB,1.313857729,103.7638966
321,C18,,BLK 426/428 CLEMENTI AVE 3,1.312271663 103.7633744,64,C,HDB,1.312271663,103.7633744
322,C20,,BLK 449-451 CLEMENTI AVE 3,1.313347821 103.7652617,8,C,HDB,1.313347821,103.7652617
323,C24,,BLK 110/118 CLEMENTI STREET 13,1.324197621 103.7712867,49,Y,HDB,1.324197621,103.7712867
324,C24,,BLK 110/118 CLEMENTI STREET 13,1.324197621 103.7712867,88,C,HDB,1.324197621,103.7712867
325,C24,,BLK 110/118 CLEMENTI STREET 13,1.324197621 103.7712867,0,H,HDB,1.324197621,103.7712867
