,CarParkID,Area,Development,Location,AvailableLots,LotType,Agency,latitude,longitude
414,H12,,BLK 1/5 DELTA AVE,1.291993773 103.827409,197,C,HDB,1.291993773,103.827409
415,H12,,BLK 1/5 DELTA AVE,1.291993773 103.827409,50,H,HDB,1.291993773,103.827409
416,H14,,BLK 96 HAVELOCK ROAD MSCP,1.288421209 103.8324438,43,Y,HDB,1.288421209,103.8324438
417,H14,,BLK 96 HAVELOCK ROAD MSCP,1.288421209 103.8324438,130,C,HDB,1.288421209,103.8324438
418,H14,,BLK 96 HAVELOCK ROAD MSCP,1.288421209 103.8324438,50,H,HDB,1.288421209,103.8324438
419,H17,,BLK 28A BEO CRESCENT,1.288167858 103.8278571,82,C,HDB,1.288167858,103.8278571
420,H18,,BLK 44A HAVELOCK ROAD,1.288989741 103.8269788,174,C,HDB,1.288989741,103.8269788
421,HCM,,BLK 104A HENDERSON CRESCENT,1.289046048 103.8215599,50,H,HDB,1.289046048,103.8215599
422,HCM,,BLK 104A HENDERSON CRESCENT,1.289046048 103.8215599,188,Y,HDB,1.289046048,103.8215599
423,HCM,,BLK 104A HENDERSON CRESCENT,1.289046048 103.8215599,292,C,HDB,1.289046048,103.8215599
424,HE1,,BLK 102/103/104 HENDERSON CRESCENT,1.289222143 103.8223554,2,C,HDB,1.289222143,103.8223554
425,HE1,,BLK 102/103/104 HENDERSON CRESCENT,1.289222143 103.8223554,50,H,HDB,1.289222143,103.8223554
426,HE1,,BLK 102/103/104 HENDERSON CRESCENT,1.289222143 103.8223554,3,Y,HDB,1.289222143,103.8223554
427,HE3,,BLK 116/117 BUKIT MERAH VIEW,1.284719003 103.8217117,9,Y,HDB,1.284719003,103.8217117
428,HE3,,BLK 116/117 BUKIT MERAH VIEW,1.284719003 103.8217117,0,H,HDB,1.284719003,103.8217117
429,HE3,,BLK 116/117 BUKIT MERAH VIEW,1.284719003 103.8217117,34,C,HDB,1.284719003,103.8217117
430,HE4,,BLK 121/122 & 127 BUKIT MERAH VIEW,1.283470913 103.8227829,50,H,HDB,1.283470913,103.8227829
431,HE4,,BLK 121/122 & 127 BUKIT MERAH VIEW,1.283470913 103.8227829,69,C,HDB,1.283470913,103.8227829
432,HE4,,BLK 121/122 & 127 BUKIT MERAH VIEW,1.283470913 103.8227829,11,Y,HDB,1.283470913,103.8227829
433,HE9,,BLK 118/119 BUKIT MERAH VIEW,1.283707366 103.8211938,35,C,HDB,1.283707366,103.8211938
434,HG1,,"BLK 1,2,6,7 HOUGANG AVE 3",1.362153542 103.8941874,22,C,HDB,1.362153542,103.8941874
