,TaxiCode,Latitude,Longitude,Bfa,Ownership,Type,Name
129,F46,1.306388888888889,103.79027777777777,Yes,LTA,Stand,North Buona Vista Rd outside Buona Vista CCL Station (towards Holland Road)
130,F47,1.2930555555555554,103.825,Yes,CCS,Stand,Jervois Rd outside Sheares Ville
131,F48,1.2994444444444444,103.82249999999999,Yes,Private,Stop,Chatsworth Rd outside Embassy of Republic of Indonesia
132,F49,1.3047222222222223,103.83027777777778,No,LTA,Stand,Angullia Park beside Liat Towers
133,F50,1.3069444444444445,103.82888888888888,Yes,CCS,Stop,Claymore Rd beside Orchard Towers
134,F51,1.3069444444444445,103.82,Yes,Private,Stand,Napier Rd along Driveway of Gleneagles Hospital
135,F53,1.311388888888889,103.83749999999999,Yes,LTA,Stand,Scotts Rd outside Newton MRT Station (towards Orchard)
136,F54,1.3116666666666668,103.83749999999999,Yes,LTA,Stand,Scotts Rd outside Newton MRT Station (towards Newton Circus)
137,F55,1.3061111111111112,103.82666666666667,Yes,Private,Stand,Tanglin Rd along driveway of Tanglin Shopping Centre
138,F56,1.3047222222222223,103.82388888888889,No,Private,Stand,Tanglin Rd outside Tanglin Mall
139,F57,1.3211111111111111,103.81444444444445,Yes,LTA,Stand,Cluny Park Rd outside Botanic Gardens CCL Station
140,F58,1.337222222222222,103.83944444444444,Yes,LTA,Stand,Toa Payoh Rise outside Caldecott CCL Station
141,F60,1.3066666666666666,103.7875,Yes,Private,Stand,Vista Exchange Green at The Star
142,F61,1.2702777777777776,103.86194444444443,Yes,LTA,Stand,Marina Coastal Dr outside Marina South Pier MRT Station
143,F63,1.3133333333333335,103.83777777777777,Yes,LTA,Stand,Bukit Timah Rd outside Newton DTL Station
144,F64,1.3194444444444444,103.8261111111111,Yes,LTA,Stand,Robin Walk outside Stevens DTL Station
145,F65,1.3222222222222222,103.81555555555555,Yes,LTA,Stop,Bukit Timah Rd outside Botanic Gardens DTL Station
146,F66,1.3252777777777778,103.80749999999999,Yes,LTA,Stand,Bukit Timah Rd outside Tan Kah Kee DTL Station
147,F67,1.326111111111111,103.80749999999999,Yes,LTA,Stop,Dunearn Rd opposite Tan Kah Kee DTL Station
148,F68,1.3305555555555555,103.79666666666667,Yes,LTA,Stop,Bukit Timah Rd outside Sixth Ave DTL Station
149,F69,1.3352777777777778,103.78305555555555,Yes,LTA,Stop,Bukit Timah Rd outside King Albert Park  DTL Station
150,F74,1.3055555555555556,103.85527777777777,Yes,LTA,Stand,Jalan Besar outside Jalan Besar DTL Station (Ent B)
151,F75,1.3133333333333335,103.86333333333333,Yes,LTA,Stop,Kallang Bahru outside Bendeemer DTL Station (Ent B)
152,F76,1.3208333333333333,103.8711111111111,Yes,LTA,Stand,Geylang Bahru outside Geylang Bahru DTL Station (Ent A)
153,G01,1.3322222222222222,103.86833333333333,Yes,LTA,Stand,Potong Pasir Ave 1 outside Potong Pasir NEL Station (Ent A) (in front of Blk 101)
154,G02,1.3311111111111111,103.86916666666666,Yes,LTA,Stand,Upp Serangoon Rd outside Potong Pasir NEL Station (Ent B) (towards City)
155,G03,1.338611111111111,103.87027777777777,Yes,LTA,Stand,Upp Serangoon Rd outside Woodleigh NEL Station (Ent B) (towards Serangoon)
156,G04,1.3511111111111112,103.86444444444444,Yes,CCS,Stand,Serangoon Ave 3 outside Blk 267
