,block,floor_area_sqm,resale_price,price_per_sqm,lat,long,isLatLongAvailable
27,10 HOLLAND AVE,88.0,530090.9090909091,6023.760330578512,1.30814997104791,103.794275184926,True
28,10 JLN BATU,132.77777777777777,769993.7777777778,5789.732116204431,1.36031001258321,103.762804974171,True
29,10 JLN BT HO SWEE,34.0,205666.66666666666,6049.019607843137,1.28745837020188,103.832675765986,True
30,10 JLN KUKOH,62.166666666666664,270333.3333333333,4234.698520303646,1.2869738344398,103.839075823483,True
31,10 JLN RUMAH TINGGI,72.0,355000.0,4932.471541578237,1.28820018880462,103.808369387433,True
32,10 JOO SENG RD,119.0,546788.8,4594.863865546218,1.33461833377097,103.88016502252,True
33,10 LOR 7 TOA PAYOH,110.8,633400.0,5703.011611030479,1.33716527577081,103.857228807914,True
34,10 MARSILING DR,125.33333333333333,335777.77777777775,2677.7863810384133,1.44080567418718,103.777318569996,True
35,10 PINE CL,73.63636363636364,411717.0909090909,5661.582365984088,1.30915239429834,103.882242524292,True
36,10 SELEGIE RD,56.4,340400.0,6033.897243107769,1.30370879401395,103.850537238747,True
37,10 ST. GEORGE'S RD,104.0,486500.0,4677.884615384615,unknown,unknown,False
38,10 TECK WHYE AVE,70.4375,262180.5,3740.6339366265174,1.38047054647235,103.755211077169,True
39,10 TELOK BLANGAH CRES,64.2,271600.0,4217.796610169491,1.27773153190559,103.819769431353,True
40,10 TOH YI DR,147.33333333333334,991166.6666666666,6730.519480519481,1.33753956576433,103.773161066389,True
41,100 BEDOK NTH AVE 4,72.8,296200.0,4076.1518494484103,1.3343559340081,103.939032711241,True
42,100 C'WEALTH CRES,59.625,279000.0,4670.890066779654,1.30770527644458,103.801272476263,True
43,100 LOR 1 TOA PAYOH,68.55555555555556,286922.22222222225,4184.795542148484,1.33956400517882,103.848585713817,True
44,100 WHAMPOA DR,91.0,390654.22222222225,4292.9035409035405,1.32077947735201,103.854348739922,True
45,101 AH HOOD RD,118.0,645846.1538461539,5473.272490221643,1.32739678972464,103.84448102202,True
46,101 ALJUNIED CRES,71.23076923076923,309615.3846153846,4355.977271648122,1.32092275330579,103.883351967045,True
47,101 ANG MO KIO AVE 3,114.84615384615384,501837.53846153844,4371.946546107307,1.37026158388486,103.839467898898,True
48,101 BEDOK NTH AVE 4,45.0,218600.0,4857.777777777778,1.334484667124,103.937924710969,True
49,101 BEDOK RESERVOIR RD,117.83333333333333,444055.55555555556,3776.316264596277,1.32844913301985,103.909937396599,True
50,101 BISHAN ST 12,124.81818181818181,780808.0,6260.142722156412,1.34485915828152,103.848400765185,True
51,101 BT BATOK WEST AVE 6,123.42857142857143,459134.85714285716,3723.399103384178,1.34670636093149,103.746920663038,True
52,101 BT PURMEI RD,74.88888888888889,397271.55555555556,5273.4411294751435,1.27146256556443,103.825683545567,True
53,101 C'WEALTH CRES,54.0,260166.66666666666,4792.20034187125,1.30805159231327,103.800842814413,True
54,101 CLEMENTI ST 14,115.42857142857143,688000.0,5925.058311976272,1.32208936757694,103.76893341249,True
55,101 GANGSA RD,146.6,638360.0,4356.667699859889,1.37916431633637,103.767439286222,True
56,101 HENDERSON CRES,74.0,403862.5,5457.601351351352,1.29071799751539,103.821625207737,True
57,101 HOUGANG AVE 1,104.14285714285714,394841.14285714284,3791.573637437715,1.35493747800562,103.891360573947,True
58,101 JLN RAJAH,94.0,448500.0,4771.276595744681,1.32871478392959,103.850545321033,True
59,101 JURONG EAST ST 13,71.52941176470588,336287.5294117647,4708.5681484192855,1.33701100762294,103.738787314099,True
60,101 LENGKONG TIGA,146.0,910000.0,6232.876712328767,1.32515983382087,103.910888819332,True
61,101 PASIR RIS ST 12,146.75,639800.0,4359.589041095891,1.36705021516612,103.958181857039,True
62,101 POTONG PASIR AVE 1,76.8125,430468.75,5619.830674047542,1.33315710123237,103.868380398922,True
63,101 RIVERVALE WALK,109.53846153846153,411068.3076923077,3757.3031733942626,1.38276428893595,103.899272035914,True
64,101 SERANGOON NTH AVE 1,91.42105263157895,373356.63157894736,4082.7451258419,1.37103631988089,103.870360910842,True
65,101 SIMEI ST 1,111.5,503083.3333333333,4497.156105506515,1.34084991073361,103.951433717517,True
66,101 TAMPINES ST 11,80.54545454545455,349909.0909090909,4346.561118009717,1.34739870794535,103.945292359327,True
67,101 TECK WHYE LANE,142.44444444444446,548222.2222222222,3848.9291915878835,1.37788964623982,103.754239909547,True
68,101 TOWNER RD,78.0,431760.0,5551.711711711712,1.31943274557093,103.861091006776,True
69,101 WHAMPOA DR,91.0,383400.0,4213.186813186813,1.32041710187602,103.853813946402,True
70,101 WOODLANDS ST 13,78.61538461538461,298367.3846153846,3829.6049773063705,1.43598268540185,103.781932747463,True
71,101 YISHUN AVE 5,72.21052631578948,252342.1052631579,3517.0659673025084,1.43053589946874,103.827668593789,True
72,101A LOR 2 TOA PAYOH,145.75,914722.0,6276.338794147796,1.33974126719163,103.847264187382,True
