,BusStopCode,RoadName,Description,Latitude,Longitude
271,10221,Ganges Ave,Ganges Ctr,1.29032906602668,103.83111793441608
272,10229,Ganges Ave,Opp Harvest Mansions,1.29052137840164,103.83178189529583
273,10231,Ganges Ave,Blk 51 CP,1.29041850946952,103.82788100149519
274,10239,Ganges Ave,Blk 79,1.29060688839488,103.82865297447873
275,10241,Alexandra Rd,Gan Eng Seng Sec Sch,1.2906166672167,103.82362326803131
276,10249,Alexandra Rd,Opp Gan Eng Seng Sec Sch,1.29088138899671,103.82407777797806
277,10261,Alexandra Rd,Delta Sports Hall,1.29090335842692,103.82047232884216
278,10269,Alexandra Rd,Opp Delta Sports Hall,1.29125331927458,103.82057583280772
279,10271,Alexandra Rd,Opp Tanglin View,1.29115999997607,103.81757666701353
280,10279,Alexandra Rd,Tanglin View,1.29151373164978,103.81757660887743
281,10281,Alexandra Rd,SIS Bldg,1.29153833298318,103.81445166697797
282,10289,Alexandra Rd,Opp SIS Bldg,1.2918699745378,103.81440639448375
283,10291,Alexandra Rd,Bef Dawson Rd,1.29215855273858,103.81065866068086
284,10299,Alexandra Rd,Aft Dawson Rd,1.29233498466278,103.81146486767658
285,10321,Tanglin Rd,Aft Margaret Dr,1.29428332949691,103.81587839882768
286,10329,Tanglin Rd,Crescent Girls' Sch,1.29364671283262,103.81597460107542
287,10331,Henderson Rd,Bef Bt Merah Ctrl,1.28136306628839,103.81834423228645
288,10339,Henderson Rd,Aft Bt Merah Ctrl,1.28115835063292,103.81857250844851
289,10341,Henderson Rd,Opp Blk 116,1.28484639603431,103.82059301467888
290,10349,Henderson Rd,Blk 116,1.2849833405097,103.82104149555396
291,10351,Henderson Rd,Bef Tiong Bahru Rd,1.28675501760897,103.82204990181914
292,10359,Henderson Rd,Aft Tiong Bahru Rd,1.28723833324362,103.82259298997768
293,10361,Lower Delta Rd,Cendex Ctr,1.28038092060065,103.82353025808791
294,10369,Lower Delta Rd,Opp Cendex Ctr,1.28037471151153,103.82387343933006
295,10371,Lower Delta Rd,Blk 129,1.28365072319387,103.824502653383
296,10379,Lower Delta Rd,Blk 25B,1.28373603376667,103.82489520929732
297,10381,Lower Delta Rd,Opp Blk 48,1.28906972186602,103.82559411728036
298,10389,Lower Delta Rd,Blk 48,1.28875832991208,103.82573455047122
299,10391,Kg Bahru Rd,Opp Melati Blk 2,1.27627105343758,103.8312563936613
300,10399,Kg Bahru Rd,Melati Blk 2,1.27588166292683,103.83019454205221
301,10401,Hoy Fatt Rd,Shriro Hse,1.28816729863,103.81167850401884
302,10409,Hoy Fatt Rd,Blk 50,1.28788221830638,103.81099317775703
303,10411,Hoy Fatt Rd,Opp Blk 53,1.28912979528004,103.81280840030111
304,10419,Hoy Fatt Rd,Blk 52,1.28842024220748,103.81257549749508
305,10421,Lengkok Bahru,Blk 63B,1.2889706156154,103.81503540991777
306,10429,Lengkok Bahru,Blk 54,1.2892779060127,103.81404805422201
307,10431,Lengkok Bahru,ENABLING VILLAGE,1.28708384358883,103.81399869917512
308,10439,Lengkok Bahru,OPP ENABLING VILLAGE,1.28747956947939,103.81418936580334
309,10441,Lengkok Bahru,Opp Blk 44,1.28656898930199,103.8116061687213
310,10449,Lengkok Bahru,Blk 44,1.28666552495266,103.81195378046979
311,10451,Redhill Rd,Opp Blk 71,1.28762380319765,103.8172559639682
312,10459,Redhill Rd,Blk 72,1.28754723360397,103.81639920301684
313,10461,Kay Siang Rd,Aft Margaret Dr,1.29680597432594,103.81169140516062
314,10469,Kay Siang Rd,Bef Margaret Dr,1.29668400003303,103.81216918970023
315,10471,Kay Siang Rd,Bef Tanglin Rd,1.29679993078344,103.81468220659576
316,10479,Kay Siang Rd,Aft Tanglin Rd,1.29668100002552,103.81547381025995
317,10481,Redhill Cl,Opp Blk 73,1.28784195484767,103.81797160113335
318,10489,Redhill Cl,Blk 73,1.28811638897142,103.81778388900163
319,10499,Spooner Rd,KAMPONG BAHRU TER,1.27585400417691,103.83401000002084
320,10501,Jln Bt Merah,Blk 104,1.28105845355429,103.82528065411316
