,Unnamed: 0,street,project,marketSegment,lat,long,avg_price_per_sqm,district,commonest_tenure,num_malls,num_taxi_stands,num_primary_schools,num_mrt,num_hawker,num_carparks,num_bus_stops,num_chas_clinics,num_sports_facilities,num_community_centers,num_supermarkets,num_secondary_schools
56,56,PASIR PANJANG CLOSE,PASIR PANJANG COURT,RCR,1.2084015740792065,103.85600664058283,12373.90558894646,5,Freehold,0,0,0,0,0,0,0,0,0,0,0,0
57,57,BALMEG HILL,THE PEAK@BALMEG,RCR,1.2196920225342904,103.84619583869424,14474.156412471792,5,Freehold,0,0,0,0,0,0,0,0,0,0,0,0
58,58,PARK ROAD,PEOPLE'S PARK COMPLEX,RCR,1.2788221533636497,103.84785605191767,10294.108188957538,1,99 yrs lease commencing from 1968,6,42,1,8,8,2,52,44,37,3,17,0
59,59,PASIR PANJANG ROAD,HARBOUR VIEW GARDENS,RCR,1.2212180469328653,103.84268158564888,18881.764986979066,5,Freehold,0,0,0,0,0,0,0,0,0,0,0,0
60,60,JALAN PASIR RIA,RIA APARTMENTS,RCR,1.228433087830226,103.84031956844711,12755.102040816326,5,Freehold,0,0,0,0,0,0,0,0,0,0,0,0
61,61,STAMFORD ROAD,EDEN RESIDENCES CAPITOL,CCR,1.2873388673268826,103.85665829406705,33664.518507150584,6,99 yrs lease commencing from 2011,13,24,0,6,1,9,42,22,17,0,11,0
62,62,WEST COAST WALK,THE PARC CONDOMINIUM,OCR,1.198465283555626,103.87443943651655,13856.683969350848,5,Freehold,0,0,0,0,0,0,0,0,0,0,0,0
63,63,NORMANTON PARK,NORMANTON PARK (DEMOLISHED),RCR,1.229449086562103,103.85113412209463,9030.05753228887,5,102 yrs lease commencing from 1977,0,0,0,0,0,0,0,0,0,0,0,0
64,64,PASIR PANJANG ROAD,THE SPECTRUM,RCR,1.204342877810903,103.85512928207228,11819.987559890194,5,Freehold,0,0,0,0,0,0,0,0,0,0,0,0
65,65,OCEAN DRIVE,THE BERTH BY THE COVE,CCR,1.2825780569036966,103.81317389067829,14058.271269503452,4,99 yrs lease commencing from 2004,0,3,2,1,5,17,38,21,2,2,8,1
66,66,PASIR PANJANG ROAD,PASIR VIEW PARK,RCR,1.2234344058233877,103.84257154633296,13114.883844522648,5,Freehold,0,0,0,0,0,0,0,0,0,0,0,0
67,67,UPPER CIRCULAR ROAD,RIVERWALK APARTMENTS,RCR,1.2846934305975644,103.85268122177062,15788.416554206027,1,99 yrs lease commencing from 1980,11,32,0,8,4,7,48,37,27,1,14,0
68,68,YONG SIAK STREET,TIONG BAHRU ESTATE,RCR,1.2664649881925176,103.8462110110468,17430.351906158357,3,Freehold,1,3,0,0,0,0,10,2,0,0,3,0
69,69,WEST COAST ROAD,THE STELLAR,OCR,1.2036187958888551,103.85747148846,12496.680606547432,5,Freehold,0,0,0,0,0,0,0,0,0,0,0,0
70,70,PASIR PANJANG ROAD,VILLAGE @ PASIR PANJANG,RCR,1.2058338390634031,103.85455491157602,15140.966499455188,5,Freehold,0,0,0,0,0,0,0,0,0,0,0,0
71,71,JALAN LEMPENG,THE TRILINQ,OCR,1.196846999325512,103.88213597170665,14324.276584346371,5,99 yrs lease commencing from 2012,0,0,0,0,0,0,0,0,0,0,0,0
72,72,WEST COAST CRESCENT,WEST BAY CONDOMINIUM,OCR,1.201125349688563,103.86283020632216,9134.881676656025,5,99 yrs lease commencing from 1991,0,0,0,0,0,0,0,0,0,0,0,0
73,73,BENCOOLEN STREET,THE BENCOOLEN,RCR,1.2896630008562304,103.86527653423263,13937.862831882456,7,99 yrs lease commencing from 1995,5,8,0,1,0,3,14,4,1,0,1,0
74,74,COMMONWEALTH AVENUE,COMMONWEALTH TOWERS,RCR,1.2425193037395097,103.85911758610187,19012.898418234647,3,99 yrs lease commencing from 2013,0,0,0,0,0,0,0,0,0,0,0,0
75,75,JIAK KIM STREET,RIVIERE,RCR,1.2714717676997431,103.85538014750024,29147.49022415218,3,99 yrs lease commencing from 2018,2,5,0,5,0,0,12,6,3,0,3,0
76,76,PRINCE CHARLES CRESCENT,TANGLIN VIEW,RCR,1.253368594057648,103.8557417453014,13666.49559306576,3,99 yrs lease commencing from 1997,0,0,0,0,0,0,0,0,0,0,0,0
77,77,PASIR PANJANG ROAD,PALM MANSIONS,RCR,1.2119024959307405,103.85257742998238,12181.7791504066,5,Freehold,0,0,0,0,0,0,0,0,0,0,0,0
78,78,OUTRAM ROAD,RESIDENTIAL APARTMENTS,RCR,1.2715618169636036,103.84718251428514,16071.42857142857,3,Freehold,2,16,1,3,3,3,24,18,12,1,9,0
79,79,WEST COAST DRIVE,NEWEST,OCR,1.1931372222195005,103.87993226001365,10020.497870735824,5,956 yrs lease commencing from 1928,0,0,0,0,0,0,0,0,0,0,0,0
80,80,WEST COAST CRESCENT,SEAHILL,OCR,1.199649738010982,103.86257354491998,14717.386608134875,5,99 yrs lease commencing from 2011,0,0,0,0,0,0,0,0,0,0,0,0
81,81,WEST COAST PARK,THE INFINITI,OCR,1.1910613540467951,103.88251987825716,11736.033576499583,5,Freehold,0,0,0,0,0,0,0,0,0,0,0,0
82,82,BEACH ROAD,FU YUEN BUILDING,CCR,1.2927253783849844,103.86072528834964,16600.790513833992,7,999 yrs lease commencing from 1827,11,17,0,4,0,7,34,10,10,0,7,0
83,83,ALEXANDRA ROAD,ALEXIS,RCR,1.2433637728896283,103.85481552041124,16782.979298414855,3,Freehold,0,0,0,0,0,0,0,0,0,0,0,0
84,84,JERVOIS LANE,CLYDESVIEW,RCR,1.2541862185297503,103.85775525085704,13413.857493057474,3,Freehold,0,0,0,0,0,0,0,0,0,0,0,0
85,85,KIM TIAN ROAD,REGENCY SUITES,RCR,1.265288614779216,103.84806701296418,18067.320418089872,3,Freehold,0,2,0,0,0,0,1,1,0,0,0,0
86,86,NEW BRIDGE ROAD,DORSETT RESIDENCES,RCR,1.2765816141461062,103.84379901401256,21549.66103484838,2,99 yrs lease commencing from 2009,3,33,1,6,7,6,48,29,23,2,14,0
