,facility_name,facility_type,address,lat,long,modified_name,google_place_id,num_ratings,avg_rating,W,weighted_rating
1276,Bishan CC,Community Centre,51 Bishan Street 13 579799,1.34951161831951,103.850509275687,Bishan CC 51 Bishan Street 13,ChIJ____7xMX2jERWYaeX5Kpxcw,1250.0,4.2,0.0253410910860178,4.154340303366192
1277,Marymount CC,Community Centre,191 Sin Ming Avenue 575738,1.36213756796576,103.8412861742,Marymount CC 191 Sin Ming Avenue,ChIJHxDcuhgX2jERvyzRhopMHII,160.0,3.9,0.0032436596590102785,4.15233201048272
1278,Boon Lay CC,Community Centre,10 Boon Lay Place 649882,1.34832322532679,103.711380186479,Boon Lay CC 10 Boon Lay Place,ChIJPeCff8EP2jERXw_DYnWynFY,267.0,4.1,0.005412857055973402,4.152865442733062
1279,Braddell Heights CC,Community Centre,50 Serangoon Avenue 2 556129,1.35161224552733,103.8703678757,Braddell Heights CC 50 Serangoon Avenue 2,ChIJV-vzmikX2jERtLf26OLoYN8,22.0,4.4,0.00044600320311391327,4.153263247637526
1280,Bukit Batok CC,Community Centre,21 Bukit Batok Central 659959,1.35019080604781,103.747514398535,Bukit Batok CC 21 Bukit Batok Central,ChIJq6qquj4Q2jERdfw4jFnWKOw,462.0,4.1,0.00936606726539218,4.152655317145354
1281,Bukit Batok East CC,Community Centre,23 Bukit Batok East Avenue 4 659841,1.34898738780681,103.758195830417,Bukit Batok East CC 23 Bukit Batok East Avenue 4,ChIJz9f-20MQ2jERCEDdxLvPfFk,629.0,4.0,0.012751637034484157,4.151200199733458
1282,Bukit Merah CC,Community Centre,4000 Jalan Bukit Merah 159465,1.28525426592061,103.815828543116,Bukit Merah CC 4000 Jalan Bukit Merah,ChIJc3FR_9Mb2jERTtAXKjOIK6I,183.0,3.9,0.003709935734993006,4.152213971223845
1283,Bukit Panjang CC,Community Centre,8 Pending Road 678295,1.37645074924612,103.77055880601,Bukit Panjang CC 8 Pending Road,ChIJJWt786YR2jERcIgIkdUxv_0,714.0,4.0,0.014474831228333367,4.150936287109174
1284,Bukit Timah CC,Community Centre,20 Toh Yi Drive 596569,1.34050085979547,103.771609614654,Bukit Timah CC 20 Toh Yi Drive,ChIJGacQ0GMQ2jER8wwsO3AmbKg,474.0,4.3,0.00960934173981795,4.15456425468792
1285,Buona Vista CC,Community Centre,36 Holland Drive 270036,1.30925871460611,103.792619417011,Buona Vista CC 36 Holland Drive,ChIJ0S3wSmoa2jER2aq7I8gFiy0,799.0,4.1,0.01619802542218258,4.1522921770271095
1286,Canberra CC,Community Centre,2 Sembawang Crescent 757632,1.44504412683036,103.819473739147,Canberra CC 2 Sembawang Crescent,ChIJFwBnxn0T2jERFDDiOhsMo_U,783.0,4.1,0.01587365945628155,4.152309418100973
