,ID,Category,Name,Coordinates,avg_rating,num_ratings,long,lat,W,weighted_rating
16,18,Hawker Centre,Toa Payoh Lorong 1 Blk 127 (Toa Payoh West Market and Food Court),"103.84473162196,1.33809268551386,0.0",4.1,1466,103.84473162196,1.33809268551386,0.12127729980145599,4.071201524951476
17,19,Hawker Centre,Toa Payoh Lorong 4 Blk 74 (Toa Payoh Vista Market),"103.851999137527,1.33454816495637,0.0",3.8,171,103.851999137527,1.33454816495637,0.01414626075446724,4.063446629479059
18,20,Hawker Centre,Toa Payoh Lorong 4 Blk 93,"103.849513484035,1.3384747524617,0.0",3.9,721,103.849513484035,1.3384747524617,0.05964592984778293,4.057252487361589
19,21,Hawker Centre,Toa Payoh Lorong 5 Blk 75,"103.852941556275,1.33603882157063,0.0",4.1,1791,103.852941556275,1.33603882157063,0.14816346790205162,4.072082668275782
20,22,Hawker Centre,Toa Payoh Lorong 7 Blk 22 (Kim Keat Palm Market and Food Centre),"103.857036007166,1.33523145909678,0.0",4.0,1169,103.857036007166,1.33523145909678,0.09670747849106552,4.060725547664466
21,23,Hawker Centre,Toa Payoh Lorong 8 Blk 210,"103.854395279214,1.3402608349586,0.0",4.1,3425,103.854395279214,1.3402608349586,0.2833388484447386,4.076512785789366
22,24,Hawker Centre,Upper Boon Keng Road Blk 17 (Blk 17 Upper Boon Keng Market and Food Centre),"103.871620273635,1.31502804429519,0.0",4.0,3228,103.871620273635,1.31502804429519,0.2670416942422237,4.049274507950103
23,25,Hawker Centre,Upper Cross Street Blk 531A (Hong Lim Food Centre and Market),"103.845818885585,1.28524640047048,0.0",4.2,3947,103.845818885585,1.28524640047048,0.3265221707478491,4.110580254603496
24,27,Hawker Centre,West Coast Drive Blk 503 (Ayer Rajah Food Centre),"103.759751321019,1.31180301004196,0.0",4.2,5596,103.759751321019,1.31180301004196,0.4629384513567174,4.1286926683313965
25,29,Hawker Centre,Whampoa Drive Blk 91/92 (Whampoa Drive Makan Place/Whampoa Market),"103.85406806286,1.32342175143826,0.0",4.2,4207,103.85406806286,1.32342175143826,0.3480311052283256,4.1134360627109885
26,30,Hawker Centre,Yishun Park Hawker Centre,"103.844747581861,1.42501763803265,0.0",4.0,5135,103.844747581861,1.42501763803265,0.424801455989411,4.0386688096813845
