,Unnamed: 0,index,licence_numbers,business_name,name_of_license,premise_address,lat,long,isLatLongAvailable,google_place_id,num_ratings,avg_rating,W,weighted_rating,modified_name
409,409,409,SE14377P000,COLD STORAGE,COLD STORAGE SINGAPORE (1983) PTE LTD,"430 UPPER CHANGI ROAD #01-47, EAST VILLAGE S(487048)",1.3317758150305,103.946201241591,True,ChIJ-QEBJw492jERA4T6m9TNxUo,481.0,4.3,0.002299773847602928,3.9585869826106497,"COLD STORAGE 430 UPPER CHANGI ROAD #01-47, EAST VILLAGE S(487048)"
410,410,410,SE14441L000,SHENG SIONG SUPERMARKET,SHENG SIONG SUPERMARKET PTE LTD,"6 POTONG PASIR AVENUE 2 #01-03, POTONG PASIR COMMUNITY CLUB S(358361)",1.33260689636011,103.867166532982,True,ChIJ29rppO0X2jERNRecUt0kUUg,82.0,4.4,0.00039206123805289004,3.957973369479467,"SHENG SIONG SUPERMARKET 6 POTONG PASIR AVENUE 2 #01-03, POTONG PASIR COMMUNITY CLUB S(358361)"
411,411,411,SE14467N000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"1 STADIUM PLACE #01-29, KALLANG WAVE MALL S(397628)",1.30307157630397,103.873044700613,True,ChIJZZ7n9ksY2jERKPlSbXTnoNY,841.0,4.3,0.004021018307347323,3.9591759924647745,"FAIRPRICE 1 STADIUM PLACE #01-29, KALLANG WAVE MALL S(397628)"
412,412,412,SE14775X000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"3 SIMEI STREET 6 #05-01, EASTPOINT MALL S(528833)",1.34270618908191,103.953024500209,True,ChIJZ23kXCI92jER6qNrGbIFDVE,914.0,4.2,0.004370048433906603,3.9588584257306922,"FAIRPRICE 3 SIMEI STREET 6 #05-01, EASTPOINT MALL S(528833)"
413,413,413,SE14875L000,HAO MART,HAO MART PTE. LTD.,"11 TANJONG KATONG ROAD #B1-36, KINEX S(437157)",1.31461849889242,103.894738004496,True,ChIJewumoN8Z2jERsXEhcU4pL18,83.0,4.0,0.0003968424726632911,3.9578167467523464,"HAO MART 11 TANJONG KATONG ROAD #B1-36, KINEX S(437157)"
414,414,414,SE14965K000,Meat Collective,MEAT COLLECTIVE SINGAPORE PRIVATE LIMITED,"342 TANJONG KATONG ROAD, S(437112)",1.30373387351391,103.89649832916,True,ChIJ3eLO82sY2jERI71C_89fMt0,102.0,4.7,0.000487685930260912,3.95816196049744,"Meat Collective 342 TANJONG KATONG ROAD, S(437112)"
415,415,415,SE14A83A000,COLD STORAGE,COLD STORAGE SINGAPORE (1983) PTE LTD,"60 PAYA LEBAR ROAD #B1-01-05, PAYA LEBAR SQUARE S(409051)",1.31881486980278,103.892580778242,True,ChIJsTh8ZxgY2jERSaBZ8PCSyHY,550.0,4.2,0.0026296790357206038,3.9584369082624513,"COLD STORAGE 60 PAYA LEBAR ROAD #B1-01-05, PAYA LEBAR SQUARE S(409051)"
416,416,416,SE14C27C000,Zac Butchery,COMMONWEALTH CONCEPTS PTE. LTD.,"1B FIGARO STREET, OPERA ESTATE S(458322)",1.31574937142261,103.925857001244,True,ChIJqejvSqUi2jERKW3nBwZVuOs,48.0,4.2,0.0002294992612992527,3.957855584721087,"Zac Butchery 1B FIGARO STREET, OPERA ESTATE S(458322)"
417,417,417,SE15043B000,FOODIE MARKET PLACE,FOODIE MARKET PLACE PTE. LTD.,"313 TANJONG KATONG ROAD, S(437096)",1.30608655778768,103.896150403005,True,ChIJCWXRaGsY2jERx6i49t664Bk,136.0,4.1,0.0006502479070145493,3.9578924652523777,"FOODIE MARKET PLACE 313 TANJONG KATONG ROAD, S(437096)"
419,419,419,SE16233J000,SHENG SIONG SUPERMARKET,SHENG SIONG SUPERMARKET PTE LTD,"18B CIRCUIT ROAD #01-260, MACPHERSON RESIDENCY S(372018)",1.32918105126141,103.888248441219,True,ChIJ2Ulmp4sX2jERNAywLFoljmI,573.0,4.3,0.002739647431759829,3.9587375073511484,"SHENG SIONG SUPERMARKET 18B CIRCUIT ROAD #01-260, MACPHERSON RESIDENCY S(372018)"
