,ID,Category,Name,coordinates,Pri_Popularity_Score,long,lat,google_place_id,num_ratings,avg_rating,W,weighted_rating
60,105,Primary School,FENGSHAN PRIMARY SCHOOL,"103.931824413157,1.3297844580718",3.5,103.931824413157,1.3297844580718,ChIJM8in9Us92jERwcR9IB0N2Dc,34.0,4.5,0.005291005291005291,4.266156131068411
61,106,Primary School,FERN GREEN PRIMARY SCHOOL,"103.880137234155,1.39731988228585",3.5,103.880137234155,1.39731988228585,ChIJfa6yZmUW2jERGLpq72PTpNs,25.0,3.4,0.003890445066915655,4.261547386985984
62,153,Primary School,KEMING PRIMARY SCHOOL,"103.75592322797,1.34506349843091",3.5,103.75592322797,1.34506349843091,ChIJT9zWcmoQ2jEReh-9aCiMayU,41.0,4.2,0.006380329909741674,4.264498118935683
63,321,Primary School,WHITE SANDS PRIMARY SCHOOL,"103.960861814678,1.36563610941695",3.5,103.960861814678,1.36563610941695,ChIJPbTkO1U82jERBVRF4BcCyK4,35.0,4.6,0.0054466230936819175,4.266737377212093
64,132,Primary School,HONG WEN SCHOOL,"103.857628468881,1.32175999964553",3.5,103.857628468881,1.32175999964553,ChIJP7EphrYZ2jERRp2LWDUR4CA,42.0,4.5,0.006535947712418301,4.266448801742919
65,59,Primary School,CHIJ OUR LADY OF THE NATIVITY,"103.897768958127,1.37357409699145",3.5,103.897768958127,1.37357409699145,ChIJH7IUoDAW2jEReXDOPLnXAaw,32.0,4.2,0.004979769685652039,4.264589032494089
66,270,Primary School,SPRINGDALE PRIMARY SCHOOL,"103.889896508672,1.39495818021916",3.5,103.889896508672,1.39495818021916,ChIJaUmn4mwW2jERGhgUYMpvCO4,38.0,4.0,0.005913476501711796,4.263345728154809
67,314,Primary School,WELLINGTON PRIMARY SCHOOL,"103.822303719094,1.45192019155475",3.5,103.822303719094,1.45192019155475,ChIJU54_kZ0U2jERGGWFGQlzFsc,23.0,4.3,0.0035792094615624027,4.26503786699865
68,292,Primary School,TAMPINES PRIMARY SCHOOL,"103.943402379754,1.34994333795888",3.5,103.943402379754,1.34994333795888,ChIJi_FkfrM92jERwrQFxd6mcVY,15.0,4.4,0.002334267040149393,4.265227611512441
69,143,Primary School,JUNYUAN PRIMARY SCHOOL,"103.939327626661,1.34787050871599",3.5,103.939327626661,1.34787050871599,ChIJwwqW7hQ92jERyaEmKbcVLSE,29.0,4.6,0.00451291627762216,4.266424503524606
70,325,Primary School,WOODLANDS PRIMARY SCHOOL,"103.791791282236,1.43658270720199",3.5,103.791791282236,1.43658270720199,ChIJ5Y7if60T2jERZWTvITPnyn8,29.0,4.1,0.00451291627762216,4.264168045385795
71,148,Primary School,JURONG WEST PRIMARY SCHOOL,"103.698743607058,1.33971273175894",3.5,103.698743607058,1.33971273175894,ChIJkR1ecZEP2jERJhLeZx32rPs,41.0,4.3,0.006380329909741674,4.265136151926657
